medicine_id,medicine_name,category,manufacturer,unit_price,stock_quantity
MED0001,Amoxicillin 40mg,Antibiotic,Aurobindo Pharma,247.5,1407
MED0002,Clopidogrel 500mg,Cardiac,Cadila Healthcare,150.66,4730
MED0003,Vitamin B Complex 10mg,Vitamin & Supplement,Glenmark Pharmaceuticals,409.53,1796
MED0004,Paracetamol 10mg,Antipyretic,Cipla,450.06,4714
MED0005,Atorvastatin 650mg,Cardiac,Biocon,470.57,4551
MED0006,Furosemide 10mg,Cardiac,Lupin,756.27,3543
MED0007,Atorvastatin 40mg,Cardiac,Mankind Pharma,309.3,4719
MED0008,Aspirin 250mg,Cardiac,Torrent Pharmaceuticals,628.75,1170
MED0009,Rabeprazole 650mg,Antacid,Glenmark Pharmaceuticals,189.46,3001
MED0010,Doxycycline 40mg,Antibiotic,Alkem Laboratories,371.81,1054
MED0011,Cefixime 20mg,antibiotic,Dr. Reddy's Laboratories,654.44,3087
MED0012,Pantoprazole 500mg,Antacid,Aurobindo Pharma,31.36,3659
MED0013,Montelukast 40mg,Respiratory,Dr. Reddy's Laboratories,137.01,715
MED0014,Rosuvastatin 40mg,Cardiac,Glenmark Pharmaceuticals,164.24,1231
MED0015,Losartan 250mg,Antihypertensive,Aurobindo Pharma,31.01,394
MED0016,Aspirin 10mg,Cardiac,Cadila Healthcare,817.85,2085
MED0017,Iron Folic Acid 250mg,Vitamin & Supplement,Cadila Healthcare,760.26,2491
MED0018,Enalapril 500mg,Antihypertensive,Glenmark Pharmaceuticals,376.22,723
MED0019,Ondansetron 500mg,Gastrointestinal,Cadila Healthcare,226.36,213
MED0020,Ranitidine 40mg,Antacid,Abbott India,502.86,4472
MED0021,Domperidone 10mg,Gastrointestinal,Aurobindo Pharma,372.31,4565
MED0022,Vitamin D3 40mg,Vitamin & Supplement,Dr. Reddy's Laboratories,533.25,1405
MED0023,Azithromycin 20mg,Antibiotic,Torrent Pharmaceuticals,700.2,1631
MED0024,Ranitidine 20mg,Antacid,Torrent Pharmaceuticals,743.22,2326
MED0025,Warfarin 650mg,Cardiac,Torrent Pharmaceuticals,841.46,4489
MED0026,Ibuprofen 20mg,Analgesic,Abbott India,686.27,3159
MED0027,Calcium Carbonate 250mg,Vitamin & Supplement,Lupin,132.53,2923
MED0028,Enalapril 250mg,Antihypertensive,Dr. Reddy's Laboratories,135.67,1057
MED0029,Rabeprazole 250mg,Antacid,Biocon,377.68,1605
MED0030,Amoxicillin 250mg,Antibiotic,Alkem Laboratories,341.61,3400
MED0031,Omeprazole 10mg,Antacid,Biocon,550.91,738
MED0032,Cetirizine 10mg,Antiallergic,Zydus Lifesciences,54.41,585
MED0033,Cefixime 250mg,Antibiotic,Abbott India,567.46,407
MED0034,Levocetirizine 20mg,Antiallergic,Mankind Pharma,664.25,228
MED0035,Iron Folic Acid 20mg,Vitamin & Supplement,Dr. Reddy's Laboratories,142.8,4108
MED0036,Insulin Glargine 650mg,Antidiabetic,Mankind Pharma,215.0,3309
MED0037,Vitamin D3 250mg,Vitamin & Supplement,Lupin,696.15,1758
MED0038,Metformin 10mg,Antidiabetic,Torrent Pharmaceuticals,413.62,2864
MED0039,Metronidazole 250mg,Antibiotic,Biocon,569.05,4315
MED0040,Calcium Carbonate 10mg,Vitamin & Supplement,Biocon,557.6,4081
MED0041,Losartan 500mg,Antihypertensive,Alkem Laboratories,682.15,4059
MED0042,Clopidogrel 650mg,Cardiac,Biocon,140.78,3672
MED0043,Doxycycline 20mg,Antibiotic,Torrent Pharmaceuticals,38.69,3989
MED0044,Azithromycin 40mg,Antibiotic,Biocon,562.6,1093
MED0045,Metronidazole 10mg,Antibiotic,Cadila Healthcare,131.23,2876
MED0046,Ciprofloxacin 20mg,Antibiotic,Lupin,229.15,840
MED0047,Diclofenac 650mg,Analgesic,Sun Pharma,578.63,866
MED0048,Vitamin D3 20mg,Vitamin & Supplement,Dr. Reddy's Laboratories,81.87,3828
MED0049,Rabeprazole 10mg,Antacid,Dr. Reddy's Laboratories,163.05,2653
MED0050,Azithromycin 650mg,Antibiotic,Lupin,594.45,1328
MED0051,Clopidogrel 40mg,Cardiac,Mankind Pharma,455.59,3543
MED0052,Azithromycin 500mg,Antibiotic,Cadila Healthcare,651.02,4874
MED0053,Diclofenac 500mg,Analgesic,Cipla,234.12,1690
MED0054,Cetirizine 250mg,Antiallergic,Glenmark Pharmaceuticals,832.67,1075
MED0055,Doxycycline 650mg,Antibiotic,Dr. Reddy's Laboratories,276.77,2760
MED0056,Ciprofloxacin 650mg,Antibiotic,Dr. Reddy's Laboratories,836.58,3220
MED0057,Amlodipine 500mg,Antihypertensive,Aurobindo Pharma,521.49,1701
MED0058,Zinc Sulphate 20mg,Vitamin & Supplement,Zydus Lifesciences,428.42,2120
MED0059,Cefixime 10mg,Antibiotic,Zydus Lifesciences,148.43,2647
MED0060,Clopidogrel 20mg,Cardiac,Mankind Pharma,387.57,3312
MED0061,Glimepiride 20mg,Antidiabetic,Cipla,507.56,1140
MED0062,Furosemide 500mg,Cardiac,Cipla,764.27,2202
MED0063,Ranitidine 10mg,Antacid,Sun Pharma,102.29,3493
MED0064,Doxycycline 250mg,Antibiotic,Sun Pharma,35.47,3334
MED0065,Diclofenac 10mg,Analgesic,Cadila Healthcare,785.92,111
MED0066,Calcium Carbonate 500mg,Vitamin & Supplement,Lupin,669.46,1658
MED0067,Pioglitazone 650mg,Antidiabetic,Biocon,607.71,1573
MED0068,Glimepiride 250mg,Antidiabetic,Sun Pharma,132.31,2773
MED0069,Omeprazole 250mg,Antacid,Torrent Pharmaceuticals,645.1,4621
MED0070,Amlodipine 10mg,Antihypertensive,Alkem Laboratories,168.96,3400
MED0071,Paracetamol 250mg,Antipyretic,Torrent Pharmaceuticals,271.73,1247
MED0072,Salbutamol 20mg,Respiratory,Dr. Reddy's Laboratories,812.09,3007
MED0073,Zinc Sulphate 10mg,Vitamin & Supplement,Alkem Laboratories,751.12,1895
MED0074,Domperidone 250mg,Gastrointestinal,Zydus Lifesciences,448.28,2562
MED0075,Calcium Carbonate 650mg,Vitamin & Supplement,Mankind Pharma,318.04,2287
MED0076,Ciprofloxacin 40mg,Antibiotic,Lupin,405.64,2548
MED0077,Furosemide 250mg,Cardiac,Biocon,834.77,4319
MED0078,Paracetamol 40mg,Antipyretic,Cipla,254.85,1214
MED0079,Ibuprofen 40mg,Analgesic,Dr. Reddy's Laboratories,533.32,1247
MED0080,Clopidogrel 250mg,Cardiac,Biocon,461.91,3992
MED0081,Warfarin 500mg,Cardiac,Dr. Reddy's Laboratories,142.91,3864
MED0082,Digoxin 500mg,Cardiac,Aurobindo Pharma,842.06,4852
MED0083,Ibuprofen 10mg,Analgesic,Aurobindo Pharma,250.77,1488
MED0084,Enalapril 40mg,Antihypertensive,Cipla,671.92,1360
MED0085,Iron Folic Acid 650mg,Vitamin & Supplement,Aurobindo Pharma,141.24,333
MED0086,Pioglitazone 250mg,Antidiabetic,Lupin,108.96,574
MED0087,Aspirin 20mg,Cardiac,Glenmark Pharmaceuticals,364.81,2973
MED0088,Pantoprazole 250mg,Antacid,Sun Pharma,652.41,73
MED0089,Montelukast 10mg,Respiratory,Abbott India,237.91,2051
MED0090,Montelukast 250mg,Respiratory,Alkem Laboratories,745.51,2146
MED0091,Multivitamin 40mg,Vitamin & Supplement,Alkem Laboratories,388.84,802
MED0092,Montelukast 650mg,Respiratory,Aurobindo Pharma,326.59,3226
MED0093,Levocetirizine 10mg,Antiallergic,Aurobindo Pharma,812.14,3537
MED0094,Metronidazole 40mg,Antibiotic,Cadila Healthcare,471.63,3540
MED0095,Enalapril 650mg,Antihypertensive,Aurobindo Pharma,684.48,31
MED0096,Aspirin 40mg,Cardiac,Mankind Pharma,279.24,4495
MED0097,Amoxicillin 500mg,Antibiotic,Cipla,396.91,2525
MED0098,Omeprazole 20mg,Antacid,Torrent Pharmaceuticals,364.19,3141
MED0099,Azithromycin 250mg,Antibiotic,Glenmark Pharmaceuticals,636.88,2002
MED0100,Cetirizine 500mg,Antiallergic,Alkem Laboratories,286.83,4929
MED0101,Vitamin D3 500mg,Vitamin & Supplement,Alkem Laboratories,550.24,861
MED0102,Rabeprazole 20mg,Antacid,Zydus Lifesciences,690.67,173
MED0103,Cetirizine 20mg,Antiallergic,Alkem Laboratories,822.35,901
MED0104,Rabeprazole 40mg,Antacid,Torrent Pharmaceuticals,734.07,722
MED0105,Doxycycline 500mg,Antibiotic,Mankind Pharma,643.63,788
MED0106,Ondansetron 10mg,Gastrointestinal,Torrent Pharmaceuticals,514.85,2340
MED0107,Pioglitazone 500mg,Antidiabetic,Dr. Reddy's Laboratories,233.68,4625
MED0108,Atorvastatin 20mg,Cardiac,Zydus Lifesciences,621.48,3301
MED0109,Pioglitazone 20mg,Antidiabetic,Abbott India,206.07,4019
MED0110,Salbutamol 500mg,Respiratory,Mankind Pharma,575.26,3536
MED0111,Diclofenac 40mg,Analgesic,Biocon,97.67,3336
