feedback_id,member_id,consultation_id,rating,feedback_text,feedback_date
FB00001,M001352,CN003470,5,Staff was helpful and courteous,2024-10-17
FB00002,M001865,CN000384,5,Telemedicine call quality was poor,2025-12-07
FB00003,M001887,CN002496,2,Needs faster appointment scheduling,2024-06-06
FB00004,M000569,CN005036,4,"Great experience, doctor was very attentive",2024-05-16
FB00005,M001101,CN002704,3,Telemedicine call quality was poor,2025-08-21
FB00006,M000950,CN005588,1,Doctor explained everything clearly,2025-08-05
FB00007,M000643,CN001389,5,Staff was helpful and courteous,2025-04-21
FB00008,M000269,CN000170,2,Average experience overall,2025-01-10
FB00009,M001626,CN000336,3,Staff was helpful and courteous,2025-09-18
FB00010,M001925,CN005510,3,Long wait time at the clinic,2025-07-13
FB00011,M000028,CN000554,2,Average experience overall,2024-07-20
FB00012,M001573,CN005469,4,Needs faster appointment scheduling,2025-10-31
FB00013,M001673,CN002794,3,Would recommend to others,2025-11-23
FB00014,M000663,CN004307,2,Excellent follow-up care,2024-11-28
FB00015,M001709,CN002183,4,Would recommend to others,2025-11-27
FB00016,M002119,CN003751,1,Excellent follow-up care,2025-09-04
FB00017,M000648,CN005971,2,Would recommend to others,2024-12-01
FB00018,M000743,CN000726,3,Telemedicine call quality was poor,2025-03-24
FB00019,M000841,CN000047,4,Staff was helpful and courteous,2025-03-24
FB00020,M000027,CN002009,5,Doctor explained everything clearly,2025-11-29
FB00021,M001878,CN000620,4,Long wait time at the clinic,2024-06-27
FB00022,M002003,CN004117,4,Long wait time at the clinic,2024-07-22
FB00023,M001335,CN005065,4,Very satisfied with the consultation,2025-04-24
FB00024,M000241,CN004296,5,Average experience overall,2025-02-04
FB00025,M000261,CN005307,2,Telemedicine call quality was poor,2025-04-11
FB00026,M001579,CN005708,2,Doctor explained everything clearly,2024-03-04
FB00027,M000065,CN005179,1,Average experience overall,2024-08-28
FB00028,M002151,CN000979,5,Excellent follow-up care,2024-12-12
FB00029,M001435,CN002516,5,Very satisfied with the consultation,2024-08-18
FB00030,M000008,CN003862,4,Doctor explained everything clearly,2025-05-15
FB00031,M000866,CN001782,5,Very satisfied with the consultation,2024-02-22
FB00032,M002166,CN002532,2,Average experience overall,2025-07-03
FB00033,M002204,CN005959,3,Very satisfied with the consultation,2024-06-30
FB00034,M001971,CN001397,4,Staff was helpful and courteous,2024-07-04
FB00035,M001416,CN005272,4,Staff was helpful and courteous,2025-07-01
FB00036,M000144,CN002600,1,"Great experience, doctor was very attentive",2025-09-14
FB00037,M000393,CN004073,5,Average experience overall,2024-12-15
FB00038,M001606,CN003208,4,Needs faster appointment scheduling,2024-05-12
FB00039,M000742,CN001297,5,Would recommend to others,2024-09-02
FB00040,M001180,CN003047,1,Would recommend to others,2025-12-13
FB00041,M002364,CN000545,1,Doctor explained everything clearly,2024-11-17
FB00042,M000416,CN000562,5,Staff was helpful and courteous,2025-06-11
FB00043,M002017,CN001355,4,Very satisfied with the consultation,2025-02-08
FB00044,M000671,CN001471,4,Very satisfied with the consultation,2024-02-14
FB00045,M000023,CN004177,4,Average experience overall,2025-03-11
FB00046,M001763,CN001704,5,Very satisfied with the consultation,2025-09-16
FB00047,M002051,CN005526,4,Staff was helpful and courteous,2024-04-26
FB00048,M000165,CN000741,5,Would recommend to others,2025-08-02
FB00049,M002317,CN000772,3,Would recommend to others,2024-11-25
FB00050,M000683,CN000400,5,Staff was helpful and courteous,2025-07-23
